[2025-07-07 20:55:23,380] 14 -INFO -Initiate the data ingestion
[2025-07-07 20:55:29,504] 84 -INFO -Performed train test split on the dataframe
[2025-07-07 20:55:29,504] 86 -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-07 20:55:29,504] 94 -INFO -Exporting train and test file path.
[2025-07-07 20:55:29,663] 103 -INFO -Exported train and test file path.
[2025-07-07 20:55:29,664] 17 -INFO -Data Initiation Completed
[2025-07-07 20:55:29,674] 20 -INFO -Initiate the data Validation
[2025-07-07 20:55:29,738] 30 -INFO -Required number of columns:2
[2025-07-07 20:55:29,739] 31 -INFO -Data frame has columns:31
[2025-07-07 20:55:30,065] 22 -INFO -Data Validation Completed
