[2025-07-08 12:02:11,322] 16 -INFO -Initiate the data ingestion
[2025-07-08 12:02:22,682] 84 -INFO -Performed train test split on the dataframe
[2025-07-08 12:02:22,683] 86 -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-08 12:02:22,684] 94 -INFO -Exporting train and test file path.
[2025-07-08 12:02:22,823] 103 -INFO -Exported train and test file path.
[2025-07-08 12:02:22,825] 19 -INFO -Data Initiation Completed
[2025-07-08 12:02:22,833] 22 -INFO -Initiate the data Validation
[2025-07-08 12:02:22,892] 30 -INFO -Required number of columns:2
[2025-07-08 12:02:22,895] 31 -INFO -Data frame has columns:31
[2025-07-08 12:02:23,218] 24 -INFO -Data Validation Completed
[2025-07-08 12:02:23,219] 26 -INFO -data Transformation started
[2025-07-08 12:02:23,219] 66 -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-07-08 12:02:23,219] 68 -INFO -Starting data transformation
