[2025-07-08 12:03:41,858] 16 -INFO -Initiate the data ingestion
[2025-07-08 12:04:00,421] 84 -INFO -Performed train test split on the dataframe
[2025-07-08 12:04:00,422] 86 -INFO -Exited split_data_as_train_test method of Data_Ingestion class
[2025-07-08 12:04:00,423] 94 -INFO -Exporting train and test file path.
[2025-07-08 12:04:00,562] 103 -INFO -Exported train and test file path.
[2025-07-08 12:04:00,563] 19 -INFO -Data Initiation Completed
[2025-07-08 12:04:00,571] 22 -INFO -Initiate the data Validation
[2025-07-08 12:04:00,635] 30 -INFO -Required number of columns:2
[2025-07-08 12:04:00,635] 31 -INFO -Data frame has columns:31
[2025-07-08 12:04:00,964] 24 -INFO -Data Validation Completed
[2025-07-08 12:04:00,964] 26 -INFO -data Transformation started
[2025-07-08 12:04:00,964] 66 -INFO -Entered initiate_data_transformation method of DataTransformation class
[2025-07-08 12:04:00,964] 68 -INFO -Starting data transformation
[2025-07-08 12:04:01,032] 50 -INFO -Entered get_data_trnasformer_object method of Trnasformation class
